,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한국공항,주당액면가액(원),"5,000","5,000","5,000",
1,한국공항,(연결)당기순이익(백만원),"5,774","3,251","-47,459",
2,한국공항,(별도)당기순이익(백만원),"4,718","2,332","-43,105",
3,한국공항,(연결)주당순이익(원),"1,888","1,063","-15,519",
4,한국공항,현금배당금총액(백만원),-,-,-,
5,한국공항,주식배당금총액(백만원),-,-,-,
6,한국공항,(연결)현금배당성향(%),-,-,-,
7,한국공항,현금배당수익률(%),-,-,-,보통주
8,한국공항,현금배당수익률(%),-,-,-,우선주
9,한국공항,주식배당수익률(%),-,-,-,보통주
10,한국공항,주식배당수익률(%),-,-,-,우선주
11,한국공항,주당 현금배당금(원),-,-,-,보통주
12,한국공항,주당 현금배당금(원),-,-,-,우선주
13,한국공항,주당 주식배당(주),-,-,-,보통주
14,한국공항,주당 주식배당(주),-,-,-,우선주
