,corp_name,se,thstrm,frmtrm,lwfr
0,KG ETS,주당액면가액(원),500,500,500
1,KG ETS,(연결)당기순이익(백만원),"904,913","192,610","26,670"
2,KG ETS,(별도)당기순이익(백만원),"313,337","20,350","-58,436"
3,KG ETS,(연결)주당순이익(원),"13,572","1,389",768
4,KG ETS,현금배당금총액(백만원),"5,400","4,320","3,802"
5,KG ETS,주식배당금총액(백만원),-,-,-
6,KG ETS,(연결)현금배당성향(%),0.60,9.01,14.26
7,KG ETS,현금배당수익률(%),1.57,0.80,1.75
8,KG ETS,현금배당수익률(%),-,-,-
9,KG ETS,주식배당수익률(%),-,-,-
10,KG ETS,주식배당수익률(%),-,-,-
11,KG ETS,주당 현금배당금(원),150,120,110
12,KG ETS,주당 현금배당금(원),-,-,-
13,KG ETS,주당 주식배당(주),-,-,-
14,KG ETS,주당 주식배당(주),-,-,-
