,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,NH투자증권,주당액면가액(원),"5,000","5,000","5,000",
1,NH투자증권,(연결)당기순이익(백만원),"303,418","931,526","576,971",
2,NH투자증권,(별도)당기순이익(백만원),"338,500","793,512","489,211",
3,NH투자증권,(연결)주당순이익(원),881,"3,071","1,923",
4,NH투자증권,현금배당금총액(백만원),"245,841","331,926","210,661",
5,NH투자증권,주식배당금총액(백만원),-,-,-,
6,NH투자증권,(연결)현금배당성향(%),81.02,35.63,36.51,
7,NH투자증권,현금배당수익률(%),7.24,7.82,6.04,보통주
8,NH투자증권,현금배당수익률(%),7.90,8.66,8.11,우선주
9,NH투자증권,주식배당수익률(%),-,-,-,보통주
10,NH투자증권,주식배당수익률(%),-,-,-,우선주
11,NH투자증권,주당 현금배당금(원),700,"1,050",700,보통주
12,NH투자증권,주당 현금배당금(원),750,"1,100",750,우선주
13,NH투자증권,주당 주식배당(주),-,-,-,보통주
14,NH투자증권,주당 주식배당(주),-,-,-,우선주
