,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,평화산업,주당액면가액(원),500,500,500,
1,평화산업,(연결)당기순이익(백만원),"6,083",205,"-7,790",
2,평화산업,(별도)당기순이익(백만원),"6,457",-232,"-6,100",
3,평화산업,(연결)주당순이익(원),111,4,-142,
4,평화산업,현금배당금총액(백만원),-,-,-,
5,평화산업,주식배당금총액(백만원),-,-,-,
6,평화산업,(연결)현금배당성향(%),-,-,-,
7,평화산업,현금배당수익률(%),-,-,-,보통주
8,평화산업,현금배당수익률(%),-,-,-,우선주
9,평화산업,주식배당수익률(%),-,-,-,보통주
10,평화산업,주식배당수익률(%),-,-,-,우선주
11,평화산업,주당 현금배당금(원),-,-,-,보통주
12,평화산업,주당 현금배당금(원),-,-,-,우선주
13,평화산업,주당 주식배당(주),-,-,-,보통주
14,평화산업,주당 주식배당(주),-,-,-,우선주
