,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,기아,주당액면가액(원),"5,000","5,000","5,000",
1,기아,(연결)당기순이익(백만원),"5,408,976","4,760,450","1,487,585",
2,기아,(별도)당기순이익(백만원),"1,953,513","2,231,008","765,221",
3,기아,(연결)주당순이익(원),"13,495","11,874","3,710",
4,기아,현금배당금총액(백만원),"1,403,256","1,202,793","400,931",
5,기아,주식배당금총액(백만원),-,-,-,
6,기아,(연결)현금배당성향(%),25.90,25.30,27.00,
7,기아,현금배당수익률(%),5.50,3.60,1.60,보통주
8,기아,현금배당수익률(%),-,-,-,우선주
9,기아,주식배당수익률(%),-,-,-,보통주
10,기아,주식배당수익률(%),-,-,-,우선주
11,기아,주당 현금배당금(원),"3,500","3,000","1,000",보통주
12,기아,주당 현금배당금(원),-,-,-,우선주
13,기아,주당 주식배당(주),-,-,-,보통주
14,기아,주당 주식배당(주),-,-,-,우선주
