,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한국타이어앤테크놀로지,주당액면가액(원),500,500,500,
1,한국타이어앤테크놀로지,(연결)당기순이익(백만원),"690,248","588,192","372,337",
2,한국타이어앤테크놀로지,(별도)당기순이익(백만원),"263,413","97,779","87,353",
3,한국타이어앤테크놀로지,(연결)주당순이익(원),"5,658","4,822","3,032",
4,한국타이어앤테크놀로지,현금배당금총액(백만원),"97,591","85,392","79,293",
5,한국타이어앤테크놀로지,주식배당금총액(백만원),-,-,-,
6,한국타이어앤테크놀로지,(연결)현금배당성향(%),14.10,14.50,21.30,
7,한국타이어앤테크놀로지,현금배당수익률(%),2.40,1.70,1.60,보통주식
8,한국타이어앤테크놀로지,현금배당수익률(%),-,-,-,기타주식
9,한국타이어앤테크놀로지,주식배당수익률(%),-,-,-,보통주식
10,한국타이어앤테크놀로지,주식배당수익률(%),-,-,-,기타주식
11,한국타이어앤테크놀로지,주당 현금배당금(원),800,700,650,보통주식
12,한국타이어앤테크놀로지,주당 현금배당금(원),-,-,-,기타주식
13,한국타이어앤테크놀로지,주당 주식배당(주),-,-,-,보통주식
14,한국타이어앤테크놀로지,주당 주식배당(주),-,-,-,기타주식
