,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,LG이노텍,주당액면가액(원),"5,000","5,000","5,000",
1,LG이노텍,(연결)당기순이익(백만원),"979,849","888,282","236,123",
2,LG이노텍,(별도)당기순이익(백만원),"720,394","789,717","186,482",
3,LG이노텍,(연결)주당순이익(원),"41,406","37,536","9,978",
4,LG이노텍,현금배당금총액(백만원),"98,208","70,994","16,565",
5,LG이노텍,주식배당금총액(백만원),-,-,-,
6,LG이노텍,(연결)현금배당성향(%),10.00,8.00,7.00,
7,LG이노텍,현금배당수익률(%),1.50,0.80,0.40,보통주
8,LG이노텍,현금배당수익률(%),-,-,-,우선주
9,LG이노텍,주식배당수익률(%),-,-,-,보통주
10,LG이노텍,주식배당수익률(%),-,-,-,우선주
11,LG이노텍,주당 현금배당금(원),"4,150","3,000",700,보통주
12,LG이노텍,주당 현금배당금(원),-,-,-,우선주
13,LG이노텍,주당 주식배당(주),-,-,-,보통주
14,LG이노텍,주당 주식배당(주),-,-,-,우선주
