,corp_name,se,thstrm,frmtrm,lwfr
0,STX중공업,주당액면가액(원),"2,500","2,500","2,500"
1,STX중공업,(연결)당기순이익(백만원),"14,144","-7,828","1,103"
2,STX중공업,(별도)당기순이익(백만원),"15,858","-8,454","2,799"
3,STX중공업,(연결)주당순이익(원),499,-276,39
4,STX중공업,현금배당금총액(백만원),-,-,-
5,STX중공업,주식배당금총액(백만원),-,-,-
6,STX중공업,(연결)현금배당성향(%),-,-,-
7,STX중공업,현금배당수익률(%),-,-,-
8,STX중공업,현금배당수익률(%),-,-,-
9,STX중공업,주식배당수익률(%),-,-,-
10,STX중공업,주식배당수익률(%),-,-,-
11,STX중공업,주당 현금배당금(원),-,-,-
12,STX중공업,주당 현금배당금(원),-,-,-
13,STX중공업,주당 주식배당(주),-,-,-
14,STX중공업,주당 주식배당(주),-,-,-
