,corp_name,se,thstrm,frmtrm,lwfr
0,농심,주당액면가액(원),"5,000","5,000","5,000"
1,농심,(연결)당기순이익(백만원),"116,122","99,828","148,511"
2,농심,(별도)당기순이익(백만원),"77,166","71,121","92,787"
3,농심,(연결)주당순이익(원),"20,081","17,263","25,682"
4,농심,현금배당금총액(백만원),"28,913","23,130","23,130"
5,농심,주식배당금총액(백만원),-,-,-
6,농심,(연결)현금배당성향(%),24.90,23.17,15.57
7,농심,현금배당수익률(%),1.40,1.30,1.30
8,농심,현금배당수익률(%),-,-,-
9,농심,주식배당수익률(%),-,-,-
10,농심,주식배당수익률(%),-,-,-
11,농심,주당 현금배당금(원),"5,000","4,000","4,000"
12,농심,주당 현금배당금(원),-,-,-
13,농심,주당 주식배당(주),-,-,-
14,농심,주당 주식배당(주),-,-,-
