,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한세예스24홀딩스,주당액면가액(원),500,500,500,
1,한세예스24홀딩스,(연결)당기순이익(백만원),"49,482","75,870","70,484",
2,한세예스24홀딩스,(별도)당기순이익(백만원),"11,687","15,778","11,800",
3,한세예스24홀딩스,(연결)주당순이익(원),543,"1,031","1,385",
4,한세예스24홀딩스,현금배당금총액(백만원),"9,815","9,815","9,815",
5,한세예스24홀딩스,주식배당금총액(백만원),-,-,-,
6,한세예스24홀딩스,(연결)현금배당성향(%),46.05,24.36,13.93,
7,한세예스24홀딩스,현금배당수익률(%),4.90,3.40,3.20,보통주
8,한세예스24홀딩스,현금배당수익률(%),-,-,-,우선주
9,한세예스24홀딩스,주식배당수익률(%),-,-,-,보통주
10,한세예스24홀딩스,주식배당수익률(%),-,-,-,우선주
11,한세예스24홀딩스,주당 현금배당금(원),250,250,250,보통주
12,한세예스24홀딩스,주당 현금배당금(원),-,-,-,우선주
13,한세예스24홀딩스,주당 주식배당(주),-,-,-,보통주
14,한세예스24홀딩스,주당 주식배당(주),-,-,-,우선주
