,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,풍산,주당액면가액(원),"5,000","5,000","5,000",
1,풍산,(연결)당기순이익(백만원),"175,141","243,318","71,896",
2,풍산,(별도)당기순이익(백만원),"175,386","243,337","74,466",
3,풍산,(연결)주당순이익(원),"6,395","8,686","2,567",
4,풍산,현금배당금총액(백만원),"27,314","28,013","16,808",
5,풍산,주식배당금총액(백만원),-,-,-,
6,풍산,(연결)현금배당성향(%),15.60,11.50,23.40,
7,풍산,현금배당수익률(%),3.00,3.20,2.20,보통주
8,풍산,현금배당수익률(%),-,-,-,우선주
9,풍산,주식배당수익률(%),-,-,-,보통주
10,풍산,주식배당수익률(%),-,-,-,우선주
11,풍산,주당 현금배당금(원),"1,000","1,000",600,보통주
12,풍산,주당 현금배당금(원),-,-,-,우선주
13,풍산,주당 주식배당(주),-,-,-,보통주
14,풍산,주당 주식배당(주),-,-,-,우선주
