,corp_name,se,thstrm,frmtrm,lwfr
0,동아지질,주당액면가액(원),500,500,500
1,동아지질,(연결)당기순이익(백만원),"-22,830","4,689","2,042"
2,동아지질,(별도)당기순이익(백만원),"-22,712","4,964","2,363"
3,동아지질,(연결)주당순이익(원),"-1,690",412,181
4,동아지질,현금배당금총액(백만원),"6,926","4,848",848
5,동아지질,주식배당금총액(백만원),-,-,-
6,동아지질,(연결)현금배당성향(%),-30.34,103.40,41.50
7,동아지질,현금배당수익률(%),-,2.00,0.50
8,동아지질,현금배당수익률(%),-,-,-
9,동아지질,주식배당수익률(%),-,-,-
10,동아지질,주식배당수익률(%),-,-,-
11,동아지질,주당 현금배당금(원),500,350,75
12,동아지질,주당 현금배당금(원),-,-,-
13,동아지질,주당 주식배당(주),-,-,-
14,동아지질,주당 주식배당(주),-,-,-
