,corp_name,se,thstrm,frmtrm,lwfr
0,하림지주,주당액면가액(원),120,100,100
1,하림지주,(연결)당기순이익(백만원),"243,982","306,307","52,744"
2,하림지주,(별도)당기순이익(백만원),"27,801","28,055","-39,418"
3,하림지주,(연결)주당순이익(원),"2,736","4,057",699
4,하림지주,현금배당금총액(백만원),"11,193","7,551","3,775"
5,하림지주,주식배당금총액(백만원),-,-,-
6,하림지주,(연결)현금배당성향(%),4.60,2.50,7.20
7,하림지주,현금배당수익률(%),1.60,1.10,0.60
8,하림지주,현금배당수익률(%),-,-,-
9,하림지주,주식배당수익률(%),-,-,-
10,하림지주,주식배당수익률(%),-,-,-
11,하림지주,주당 현금배당금(원),120,100,50
12,하림지주,주당 현금배당금(원),-,-,-
13,하림지주,주당 주식배당(주),-,-,-
14,하림지주,주당 주식배당(주),-,-,-
