,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,하나금융지주,주당액면가액(원),"5,000","5,000","5,000",
1,하나금융지주,(연결)당기순이익(백만원),"3,552,391","3,526,068","2,637,242",
2,하나금융지주,(별도)당기순이익(백만원),"1,146,546","1,131,398","321,763",
3,하나금융지주,(연결)주당순이익(원),"11,803","11,819","8,858",
4,하나금융지주,현금배당금총액(백만원),"976,738","903,846","539,393",
5,하나금융지주,주식배당금총액(백만원),-,-,-,
6,하나금융지주,(연결)현금배당성향(%),27.00,26.00,20.00,
7,하나금융지주,현금배당수익률(%),7.40,7.00,5.20,보통주
8,하나금융지주,현금배당수익률(%),-,-,-,우선주
9,하나금융지주,주식배당수익률(%),-,-,-,보통주
10,하나금융지주,주식배당수익률(%),-,-,-,우선주
11,하나금융지주,주당 현금배당금(원),"3,350","3,100","1,850",보통주
12,하나금융지주,주당 현금배당금(원),-,-,-,우선주
13,하나금융지주,주당 주식배당(주),-,-,-,보통주
14,하나금융지주,주당 주식배당(주),-,-,-,우선주
