,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,효성티앤씨,주당액면가액(원),"5,000","5,000","5,000",
1,효성티앤씨,(연결)당기순이익(백만원),"11,591","770,364","136,797",
2,효성티앤씨,(별도)당기순이익(백만원),"289,706","275,988","62,352",
3,효성티앤씨,(연결)주당순이익(원),"2,686","178,503","31,698",
4,효성티앤씨,현금배당금총액(백만원),"43,157","215,785","21,578",
5,효성티앤씨,주식배당금총액(백만원),-,-,-,
6,효성티앤씨,(연결)현금배당성향(%),372.33,28.01,15.77,
7,효성티앤씨,현금배당수익률(%),2.74,9.26,2.50,보통주
8,효성티앤씨,현금배당수익률(%),-,-,-,종류주식
9,효성티앤씨,주식배당수익률(%),-,-,-,보통주
10,효성티앤씨,주식배당수익률(%),-,-,-,종류주식
11,효성티앤씨,주당 현금배당금(원),"10,000","50,000","5,000",보통주
12,효성티앤씨,주당 현금배당금(원),-,-,-,종류주식
13,효성티앤씨,주당 주식배당(주),-,-,-,보통주
14,효성티앤씨,주당 주식배당(주),-,-,-,종류주식
