,corp_name,se,thstrm,frmtrm,lwfr
0,아시아나항공,주당액면가액(원),"5,000","5,000","5,000"
1,아시아나항공,(연결)당기순이익(백만원),"26,526","-516,810","-399,817"
2,아시아나항공,(별도)당기순이익(백만원),"228,116","-187,982","-397,511"
3,아시아나항공,(연결)주당순이익(원),498,"-6,053","-5,212"
4,아시아나항공,현금배당금총액(백만원),-,-,-
5,아시아나항공,주식배당금총액(백만원),-,-,-
6,아시아나항공,(연결)현금배당성향(%),-,-,-
7,아시아나항공,현금배당수익률(%),-,-,-
8,아시아나항공,현금배당수익률(%),-,-,-
9,아시아나항공,주식배당수익률(%),-,-,-
10,아시아나항공,주식배당수익률(%),-,-,-
11,아시아나항공,주당 현금배당금(원),-,-,-
12,아시아나항공,주당 현금배당금(원),-,-,-
13,아시아나항공,주당 주식배당(주),-,-,-
14,아시아나항공,주당 주식배당(주),-,-,-
