,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,SNT모티브,주당액면가액(원),"5,000","5,000","5,000",
1,SNT모티브,(연결)당기순이익(백만원),"87,508","80,119","54,441",
2,SNT모티브,(별도)당기순이익(백만원),"91,032","81,733","53,519",
3,SNT모티브,(연결)주당순이익(원),"6,470","5,787","3,952",
4,SNT모티브,현금배당금총액(백만원),"21,350","22,255","22,006",
5,SNT모티브,주식배당금총액(백만원),-,-,-,
6,SNT모티브,(연결)현금배당성향(%),24.40,27.80,40.40,
7,SNT모티브,현금배당수익률(%),3.70,3.40,3.20,보통주
8,SNT모티브,현금배당수익률(%),-,-,-,우선주
9,SNT모티브,주식배당수익률(%),-,-,-,보통주
10,SNT모티브,주식배당수익률(%),-,-,-,우선주
11,SNT모티브,주당 현금배당금(원),"1,600","1,600","1,600",보통주
12,SNT모티브,주당 현금배당금(원),-,-,-,우선주
13,SNT모티브,주당 주식배당(주),-,-,-,보통주
14,SNT모티브,주당 주식배당(주),-,-,-,우선주
