,corp_name,se,thstrm,frmtrm,lwfr
0,한전산업,주당액면가액(원),500,500,500
1,한전산업,(연결)당기순이익(백만원),"16,286","8,559","13,473"
2,한전산업,(별도)당기순이익(백만원),"14,882","7,270","13,745"
3,한전산업,(연결)주당순이익(원),499,264,419
4,한전산업,현금배당금총액(백만원),"7,433","6,455","6,781"
5,한전산업,주식배당금총액(백만원),-,-,-
6,한전산업,(연결)현금배당성향(%),45.64,75.41,50.33
7,한전산업,현금배당수익률(%),2.54,1.64,4.34
8,한전산업,현금배당수익률(%),-,-,-
9,한전산업,주식배당수익률(%),-,-,-
10,한전산업,주식배당수익률(%),-,-,-
11,한전산업,주당 현금배당금(원),228,198,208
12,한전산업,주당 현금배당금(원),-,-,-
13,한전산업,주당 주식배당(주),-,-,-
14,한전산업,주당 주식배당(주),-,-,-
