,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,원익IPS,주당액면가액(원),500,500,500,
1,원익IPS,(연결)당기순이익(백만원),"89,438","145,117","97,819",
2,원익IPS,(별도)당기순이익(백만원),"90,591","141,893","97,884",
3,원익IPS,(연결)주당순이익(원),"1,854","3,007","2,027",
4,원익IPS,현금배당금총액(백만원),"9,581","14,479","9,653",
5,원익IPS,주식배당금총액(백만원),-,-,-,
6,원익IPS,(연결)현금배당성향(%),10.70,10.00,9.90,
7,원익IPS,현금배당수익률(%),0.80,0.70,0.50,보통주
8,원익IPS,현금배당수익률(%),-,-,-,우선주
9,원익IPS,주식배당수익률(%),-,-,-,보통주
10,원익IPS,주식배당수익률(%),-,-,-,우선주
11,원익IPS,주당 현금배당금(원),200,300,200,보통주
12,원익IPS,주당 현금배당금(원),-,-,-,우선주
13,원익IPS,주당 주식배당(주),-,-,-,보통주
14,원익IPS,주당 주식배당(주),-,-,-,우선주
