,corp_name,se,thstrm,frmtrm,lwfr
0,헬릭스미스,주당액면가액(원),500,500,500
1,헬릭스미스,(연결)당기순이익(백만원),"-43,065","-52,648","-85,584"
2,헬릭스미스,(별도)당기순이익(백만원),"-41,708","-54,043","-82,963"
3,헬릭스미스,(연결)주당순이익(원),"-1,154","-1,775","-3,094"
4,헬릭스미스,현금배당금총액(백만원),-,-,-
5,헬릭스미스,주식배당금총액(백만원),-,-,-
6,헬릭스미스,(연결)현금배당성향(%),-,-,-
7,헬릭스미스,현금배당수익률(%),-,-,-
8,헬릭스미스,현금배당수익률(%),-,-,-
9,헬릭스미스,주식배당수익률(%),-,-,-
10,헬릭스미스,주식배당수익률(%),-,-,-
11,헬릭스미스,주당 현금배당금(원),-,-,-
12,헬릭스미스,주당 현금배당금(원),-,-,-
13,헬릭스미스,주당 주식배당(주),-,-,-
14,헬릭스미스,주당 주식배당(주),-,-,-
