,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,더존비즈온,주당액면가액(원),500,500,500,
1,더존비즈온,(연결)당기순이익(백만원),"23,076","54,414","57,901",
2,더존비즈온,(별도)당기순이익(백만원),"23,213","52,140","53,754",
3,더존비즈온,(연결)주당순이익(원),676,"1,704","1,830",
4,더존비즈온,현금배당금총액(백만원),"7,196","16,493","16,777",
5,더존비즈온,주식배당금총액(백만원),-,-,-,
6,더존비즈온,(연결)현금배당성향(%),31.00,30.00,29.00,
7,더존비즈온,현금배당수익률(%),0.30,0.60,0.40,보통주
8,더존비즈온,현금배당수익률(%),9.20,3.50,2.50,우선주
9,더존비즈온,주식배당수익률(%),-,-,-,보통주
10,더존비즈온,주식배당수익률(%),-,-,-,우선주
11,더존비즈온,주당 현금배당금(원),123,450,450,보통주
12,더존비즈온,주당 현금배당금(원),"3,408","2,576","2,576",우선주
13,더존비즈온,주당 주식배당(주),-,-,-,보통주
14,더존비즈온,주당 주식배당(주),-,-,-,우선주
