,corp_name,se,thstrm,frmtrm,lwfr
0,한온시스템,주당액면가액(원),100,100,100
1,한온시스템,(연결)당기순이익(백만원),"20,438","308,515","110,368"
2,한온시스템,(별도)당기순이익(백만원),"-92,008","71,349","-23,056"
3,한온시스템,(연결)주당순이익(원),38,578,207
4,한온시스템,현금배당금총액(백만원),"192,121","192,121","170,781"
5,한온시스템,주식배당금총액(백만원),-,-,-
6,한온시스템,(연결)현금배당성향(%),940.02,62.27,154.74
7,한온시스템,현금배당수익률(%),4.31,2.64,2.04
8,한온시스템,현금배당수익률(%),-,-,-
9,한온시스템,주식배당수익률(%),-,-,-
10,한온시스템,주식배당수익률(%),-,-,-
11,한온시스템,주당 현금배당금(원),360,360,320
12,한온시스템,주당 현금배당금(원),-,-,-
13,한온시스템,주당 주식배당(주),-,-,-
14,한온시스템,주당 주식배당(주),-,-,-
