,corp_name,se,thstrm,frmtrm,lwfr
0,태경비케이,주당액면가액(원),500,500,500
1,태경비케이,(연결)당기순이익(백만원),"23,456","9,330","4,614"
2,태경비케이,(별도)당기순이익(백만원),"19,107","6,765","2,709"
3,태경비케이,(연결)주당순이익(원),850,338,167
4,태경비케이,현금배당금총액(백만원),"3,586","3,034","2,758"
5,태경비케이,주식배당금총액(백만원),-,-,-
6,태경비케이,(연결)현금배당성향(%),15.30,32.50,59.80
7,태경비케이,현금배당수익률(%),2.40,2.20,2.50
8,태경비케이,현금배당수익률(%),-,-,-
9,태경비케이,주식배당수익률(%),-,-,-
10,태경비케이,주식배당수익률(%),-,-,-
11,태경비케이,주당 현금배당금(원),130,110,100
12,태경비케이,주당 현금배당금(원),-,-,-
13,태경비케이,주당 주식배당(주),-,-,-
14,태경비케이,주당 주식배당(주),-,-,-
