,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한국콜마,주당액면가액(원),500,500,500,
1,한국콜마,(연결)당기순이익(백만원),"-21,981","35,811","160,270",
2,한국콜마,(별도)당기순이익(백만원),"-26,433","48,039","120,834",
3,한국콜마,(연결)주당순이익(원),-961,"1,565","7,005",
4,한국콜마,현금배당금총액(백만원),"11,440","9,496","7,894",
5,한국콜마,주식배당금총액(백만원),-,-,-,
6,한국콜마,(연결)현금배당성향(%),-,26.50,4.90,
7,한국콜마,현금배당수익률(%),1.10,1.00,0.70,보통주
8,한국콜마,현금배당수익률(%),-,-,-,종류주
9,한국콜마,주식배당수익률(%),-,-,-,보통주
10,한국콜마,주식배당수익률(%),-,-,-,종류주
11,한국콜마,주당 현금배당금(원),500,415,345,보통주
12,한국콜마,주당 현금배당금(원),-,-,-,종류주
13,한국콜마,주당 주식배당(주),-,-,-,보통주
14,한국콜마,주당 주식배당(주),-,-,-,종류주
