,corp_name,se,thstrm,frmtrm,lwfr
0,LG유플러스,주당액면가액(원),"5,000","5,000","5,000"
1,LG유플러스,(연결)당기순이익(백만원),"663,056","712,335","466,764"
2,LG유플러스,(별도)당기순이익(백만원),"661,692","679,148","452,541"
3,LG유플러스,(연결)주당순이익(원),"1,543","1,642","1,069"
4,LG유플러스,현금배당금총액(백만원),"279,388","237,566","196,475"
5,LG유플러스,주식배당금총액(백만원),-,-,-
6,LG유플러스,(연결)현금배당성향(%),42.14,33.35,42.09
7,LG유플러스,현금배당수익률(%),5.50,3.90,3.70
8,LG유플러스,현금배당수익률(%),-,-,-
9,LG유플러스,주식배당수익률(%),-,-,-
10,LG유플러스,주식배당수익률(%),-,-,-
11,LG유플러스,주당 현금배당금(원),650,550,450
12,LG유플러스,주당 현금배당금(원),-,-,-
13,LG유플러스,주당 주식배당(주),-,-,-
14,LG유플러스,주당 주식배당(주),-,-,-
