,corp_name,se,thstrm,frmtrm,lwfr
0,한국쉘석유,주당액면가액(원),"5,000","5,000","5,000"
1,한국쉘석유,(연결)당기순이익(백만원),-,-,-
2,한국쉘석유,(별도)당기순이익(백만원),-,-,-
3,한국쉘석유,(연결)주당순이익(원),-,-,-
4,한국쉘석유,현금배당금총액(백만원),"23,400","24,700","18,200"
5,한국쉘석유,주식배당금총액(백만원),-,-,-
6,한국쉘석유,(연결)현금배당성향(%),-,-,-
7,한국쉘석유,현금배당수익률(%),7.10,7.40,4.90
8,한국쉘석유,현금배당수익률(%),-,-,-
9,한국쉘석유,주식배당수익률(%),-,-,-
10,한국쉘석유,주식배당수익률(%),-,-,-
11,한국쉘석유,주당 현금배당금(원),"18,000","19,000","14,000"
12,한국쉘석유,주당 현금배당금(원),-,-,-
13,한국쉘석유,주당 주식배당(주),-,-,-
14,한국쉘석유,주당 주식배당(주),-,-,-
