,corp_name,se,thstrm,frmtrm,lwfr
0,KH바텍,주당액면가액(원),500,500,500
1,KH바텍,(연결)당기순이익(백만원),"25,011","33,108","-13,807"
2,KH바텍,(별도)당기순이익(백만원),"23,259","33,315","-12,605"
3,KH바텍,(연결)주당순이익(원),"1,094","1,473",-604
4,KH바텍,현금배당금총액(백만원),"6,803","6,803",-
5,KH바텍,주식배당금총액(백만원),-,-,-
6,KH바텍,(연결)현금배당성향(%),27.42,20.36,-
7,KH바텍,현금배당수익률(%),2.10,1.20,-
8,KH바텍,현금배당수익률(%),-,-,-
9,KH바텍,주식배당수익률(%),-,-,-
10,KH바텍,주식배당수익률(%),-,-,-
11,KH바텍,주당 현금배당금(원),300,300,-
12,KH바텍,주당 현금배당금(원),-,-,-
13,KH바텍,주당 주식배당(주),-,-,-
14,KH바텍,주당 주식배당(주),-,-,-
