,corp_name,se,thstrm,frmtrm,lwfr
0,우진플라임,주당액면가액(원),500,500,500
1,우진플라임,(연결)당기순이익(백만원),"21,850","22,512","7,769"
2,우진플라임,(별도)당기순이익(백만원),"20,923","22,352","7,701"
3,우진플라임,(연결)주당순이익(원),"1,092","1,126",388
4,우진플라임,현금배당금총액(백만원),"1,000","1,000","1,000"
5,우진플라임,주식배당금총액(백만원),-,-,-
6,우진플라임,(연결)현금배당성향(%),4.57,4.44,12.90
7,우진플라임,현금배당수익률(%),1.37,1.16,1.90
8,우진플라임,현금배당수익률(%),-,-,-
9,우진플라임,주식배당수익률(%),-,-,-
10,우진플라임,주식배당수익률(%),-,-,-
11,우진플라임,주당 현금배당금(원),50,50,100
12,우진플라임,주당 현금배당금(원),-,-,-
13,우진플라임,주당 주식배당(주),-,-,-
14,우진플라임,주당 주식배당(주),-,-,-
