,corp_name,se,thstrm,frmtrm,lwfr
0,한샘,주당액면가액(원),"1,000","1,000","1,000"
1,한샘,(연결)당기순이익(백만원),"-71,330","55,943","65,073"
2,한샘,(별도)당기순이익(백만원),"-61,762","50,787","49,884"
3,한샘,(연결)주당순이익(원),"-4,412","3,266","3,766"
4,한샘,현금배당금총액(백만원),"13,124","19,499","22,437"
5,한샘,주식배당금총액(백만원),-,-,-
6,한샘,(연결)현금배당성향(%),-,47.20,34.50
7,한샘,현금배당수익률(%),1.10,1.60,1.30
8,한샘,현금배당수익률(%),-,-,-
9,한샘,주식배당수익률(%),-,-,-
10,한샘,주식배당수익률(%),-,-,-
11,한샘,주당 현금배당금(원),800,"1,550","1,300"
12,한샘,주당 현금배당금(원),-,-,-
13,한샘,주당 주식배당(주),-,-,-
14,한샘,주당 주식배당(주),-,-,-
