,corp_name,se,thstrm,frmtrm,lwfr
0,제일연마,주당액면가액(원),500,500,500
1,제일연마,(연결)당기순이익(백만원),"2,187","6,084","3,264"
2,제일연마,(별도)당기순이익(백만원),20,"4,362","2,394"
3,제일연마,(연결)주당순이익(원),297,813,435
4,제일연마,현금배당금총액(백만원),"1,943","1,995","1,650"
5,제일연마,주식배당금총액(백만원),-,-,-
6,제일연마,(연결)현금배당성향(%),88.86,32.73,50.55
7,제일연마,현금배당수익률(%),3.00,3.00,3.00
8,제일연마,현금배당수익률(%),-,-,-
9,제일연마,주식배당수익률(%),-,-,-
10,제일연마,주식배당수익률(%),-,-,-
11,제일연마,주당 현금배당금(원),270,270,220
12,제일연마,주당 현금배당금(원),-,-,-
13,제일연마,주당 주식배당(주),-,-,-
14,제일연마,주당 주식배당(주),-,-,-
