,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,신송홀딩스,주당액면가액(원),500,500,500,
1,신송홀딩스,(연결)당기순이익(백만원),"1,578","7,467","2,771",
2,신송홀딩스,(별도)당기순이익(백만원),"3,929","2,344","-1,309",
3,신송홀딩스,(연결)주당순이익(원),139,669,240,
4,신송홀딩스,현금배당금총액(백만원),"1,295","1,301","1,120",
5,신송홀딩스,주식배당금총액(백만원),-,-,-,
6,신송홀딩스,(연결)현금배당성향(%),86.40,17.40,40.40,
7,신송홀딩스,현금배당수익률(%),1.80,2.30,2.50,보통주
8,신송홀딩스,현금배당수익률(%),-,-,-,
9,신송홀딩스,주식배당수익률(%),-,-,-,
10,신송홀딩스,주식배당수익률(%),-,-,-,
11,신송홀딩스,주당 현금배당금(원),120,120,100,보통주
12,신송홀딩스,주당 현금배당금(원),-,-,-,
13,신송홀딩스,주당 주식배당(주),-,-,-,
14,신송홀딩스,주당 주식배당(주),-,-,-,
