,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,후성,주당액면가액(원),500,500,500,
1,후성,(연결)당기순이익(백만원),"97,049","22,564","9,977",
2,후성,(별도)당기순이익(백만원),"55,937","46,972","10,988",
3,후성,(연결)주당순이익(원),"1,047",244,108,
4,후성,현금배당금총액(백만원),"1,886","1,389",-,
5,후성,주식배당금총액(백만원),-,-,-,
6,후성,(연결)현금배당성향(%),1.90,6.20,-,
7,후성,현금배당수익률(%),0.17,0.07,-,보통주
8,후성,현금배당수익률(%),-,-,-,
9,후성,주식배당수익률(%),-,-,-,보통주
10,후성,주식배당수익률(%),-,-,-,
11,후성,주당 현금배당금(원),20,15,-,보통주
12,후성,주당 현금배당금(원),-,-,-,
13,후성,주당 주식배당(주),-,-,-,보통주
14,후성,주당 주식배당(주),-,-,-,
