,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,E1,주당액면가액(원),"5,000","5,000","5,000",
1,E1,(연결)당기순이익(백만원),"141,859","131,758","60,288",
2,E1,(별도)당기순이익(백만원),"139,202","81,793","81,043",
3,E1,(연결)주당순이익(원),"24,536","22,789","10,427",
4,E1,현금배당금총액(백만원),"20,814","12,720","12,720",
5,E1,주식배당금총액(백만원),-,-,-,
6,E1,(연결)현금배당성향(%),14.68,9.65,21.10,
7,E1,현금배당수익률(%),7.56,4.46,4.82,보통주
8,E1,현금배당수익률(%),-,-,-,
9,E1,주식배당수익률(%),-,-,-,보통주
10,E1,주식배당수익률(%),-,-,-,
11,E1,주당 현금배당금(원),"3,600","2,200","2,200",보통주
12,E1,주당 현금배당금(원),-,-,-,
13,E1,주당 주식배당(주),-,-,-,보통주
14,E1,주당 주식배당(주),-,-,-,
