,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,SK하이닉스,주당액면가액(원),"5,000","5,000","5,000",
1,SK하이닉스,(연결)당기순이익(백만원),"2,229,560","9,602,316","4,755,102",
2,SK하이닉스,(별도)당기순이익(백만원),"2,790,457","9,567,226","4,217,841",
3,SK하이닉스,(연결)주당순이익(원),"3,242","13,989","6,952",
4,SK하이닉스,현금배당금총액(백만원),"825,181","1,058,936","800,282",
5,SK하이닉스,주식배당금총액(백만원),-,-,-,
6,SK하이닉스,(연결)현금배당성향(%),37.00,11.00,16.80,
7,SK하이닉스,현금배당수익률(%),1.50,1.20,1.00,보통주
8,SK하이닉스,현금배당수익률(%),-,-,-,우선주
9,SK하이닉스,주식배당수익률(%),-,-,-,보통주
10,SK하이닉스,주식배당수익률(%),-,-,-,우선주
11,SK하이닉스,주당 현금배당금(원),"1,200","1,540","1,170",보통주
12,SK하이닉스,주당 현금배당금(원),-,-,-,우선주
13,SK하이닉스,주당 주식배당(주),-,-,-,보통주
14,SK하이닉스,주당 주식배당(주),-,-,-,우선주
