,tag,제 49 기,제 48 기,제 48 기초
0,자산,,,
1,비유동자산,284487661182,215813217752,206393936773
2,유형자산,219807752779,165186068446,171195905406
3,무형자산,5841616640,652915052,761924184
6,상각후원가 측정 금융자산,482316470,60872716,52317716
7,기타포괄손익-공정가치 측정 금융자산,1259872864,1111268223,777788352
8,기타비유동자산,9418267,7123958,7211689
9,장기기타금융자산,14059790489,14039048481,1939213755
10,퇴직급여운용자산/퇴직연금운용자산,3465952612,,
11,이연법인세자산,17732181007,12269719301,10220108019
12,유동자산,618408758708,503297307117,383050610515
13,상각후원가 측정 금융자산,5360000,585000,3245000
14,당기손익-공정가치 측정 지정 금융자산,4432547872,39948583888,128551933467
15,기타유동자산,20468112168,29471841194,14247033372
16,재고자산,386216091482,271777763948,131652052967
17,파생상품자산,5200000,67750000,
19,기타금융자산,1555199990,2145751438,957401963
20,현금및현금성자산,25063772500,49555184108,44197495100
21,당기법인세자산,59362110,,
22,자산총계,902896419890,719110524869,589444547288
32,부채,,,
33,비유동부채,19428363050,15376672014,17738184963
35,순확정급여부채,,10808264957,12148557974
36,기타금융부채,2579971034,3421297057,4442516989
37,비유동충당부채,11124392016,1147110000,1147110000
38,유동부채,361477738381,232131563158,118787782221
41,기타금융부채,78799885478,49961353487,41438101506
42,파생상품부채,2186200000,137500000,306160000
43,기타유동부채,2336820995,7048303144,3187097871
44,당기법인세부채,20727889643,3284560601,5576111877
45,부채총계,380906101431,247508235172,136525967184
46,자본과부채총계,902896419890,719110524869,589444547288
