,tag,제 51 기,제 50 기,제 49 기
0,자산,,,
1,유동자산,100077879559,101747355346,69456058283
2,현금및현금성자산,4177837432,481223602,5385500501
5,기타유동금융자산,1768787084,0,13334000
6,재고자산,47332901682,50470452093,38160160866
7,당기법인세자산,0,17121230,19618624
8,기타유동자산,519244632,407035832,150042486
9,비유동자산,82416181280,84250772491,83918018226
13,기타비유동금융자산,749237566,1338135769,50529221
15,유형자산,69335051374,73351951542,75744203318
16,무형자산,1153939801,1177413801,756593800
17,자산총계,182494060839,185998127837,153374076509
18,부채,,,
19,유동부채,85891476001,92942997076,59604101532
21,단기차입부채,50453809517,63089447368,32016452319
22,기타금융부채,427874728,186203458,137901530
23,기타유동부채,3937674605,2465261060,4972957350
24,당기법인세부채,129864583,81978821,328660469
25,비유동부채,8643994492,8907826050,6266264183
26,장기차입부채,2000000000,2523809517,0
27,확정급여부채,5113539086,4904366742,4819219484
28,기타비유동금융부채,157589499,34384695,56888289
29,기타비유동부채,128303988,138357433,83248747
30,이연법인세부채,1244561919,1306907663,1306907663
31,부채총계,94535470493,101850823126,65870365715
41,자본과부채총계,182494060839,185998127837,153374076509
