,tag,제 42 기,제 41 기,제 40 기
0,자산,,,
1,유동자산,47611035041,25786468773,43690281793
2,현금및현금성자산,6362218670,4979206408,8412191746
3,기타금융자산,1183792266,1560171093,1503864929
5,당기손익공정가치금융자산,1305189420,,
6,당기법인세자산,12095403,6167450,10235880
7,기타유동자산,2944474468,467569782,194251199
8,재고자산,15418565864,10644715852,12321322367
9,파생상품자산,279665632,,
10,매각예정비유동자산,,,8388793719
11,비유동자산,59188154959,56243641992,60217395064
12,기타금융자산,22327605294,387628971,562837344
14,유형자산,25504028496,41417950473,44010512193
15,무형자산,10586053116,281901800,281901800
16,기타비유동자산,148111111,,
17,자산총계,106799190000,82030110765,103907676857
18,부채,,,
19,유동부채,57564189592,33097270109,36960511434
24,파생상품부채,6831899570,4602306539,
25,유동성리스부채,676602418,43515235,65578288
27,기타유동부채,265447056,76221321,1089720932
28,비유동부채,19182860182,18961131085,26261679593
31,비유동성리스부채,620149236,,
32,순확정급여부채,2603721333,3033131085,4251679593
33,기타비유동부채,221669613,,40000000
34,부채총계,76747049774,52058401194,63222191027
44,자본과부채총계,106799190000,82030110765,103907676857
