,tag,제 51 기,제 50 기,제 49 기
0,자산,,,
1,유동자산,133882562867,116594546038,83967829161
2,현금및현금성자산,21229118761,17205269082,9259205050
6,재고자산,59195823814,48781950318,33490987435
7,기타자산,5260707929,2272797756,2271090767
9,비유동자산,308944370447,302698911451,299264835232
12,기타금융자산,6034326033,5028014705,5711897191
13,유형자산,188292097019,186686323095,195437705374
14,무형자산,1670768689,760009543,777945540
16,기타자산,77474220387,74464696899,70543214903
17,이연법인세자산,841261203,988176546,1666761076
18,자산총계,442826933314,419293457489,383232664393
19,부채,,,
20,유동부채,134406680961,150432576597,118884109192
24,리스부채,3294845619,2429420800,2062572700
25,기타금융부채,822896507,47565759,123123077
26,충당부채,1170809218,1100152138,1375458526
27,기타부채,1994683181,3099095164,1454416692
29,비유동부채,107866888575,79021606936,91844399171
32,리스부채,3806824115,618931200,2820232895
33,기타금융부채,3074531,9783042,68459436
34,확정급여부채,4953991196,7284844605,7591841553
35,장기종업원급여부채,28793120,30321888,36166953
36,이연법인세부채,34625294460,34869143171,31663688219
37,충당부채,469641484,449031508,530008043
38,기타부채,1866264526,2078228855,2147054521
39,부채총계,242273569536,229454183533,210728508363
49,자본과부채총계,442826933314,419293457489,383232664393
