,tag,제 17 기,제 16 기,제 15 기
0,자산,,,
1,유동자산,140723346138,122936942030,115234308097
2,현금및현금성자산,458247643,770188811,141810108
3,단기금융자산,8752161189,127941059,884902990
4,당기손익 - 공정가치 측정 금융자산,14851759000,16195630000,17788100000
7,기타유동자산,1644742129,1927542162,2488113692
8,당기법인세자산,125781563,112508724,53074348
9,재고자산,39347333123,37321755522,33587553805
10,비유동자산,95877259979,97178495686,87920441678
11,장기금융자산,4000000,7204000000,434456000
13,당기손익 - 공정가치 측정 금융자산,165985620,165985620,165985620
15,종업원급여자산,15194832,15194832,15194832
16,유형자산,93804315282,86279371225,82664240583
17,무형자산,1040546848,995357733,1005835655
18,자산총계,236600606117,220115437716,203154749775
19,부채,,,
20,유동부채,143913923052,140985745625,147494596399
23,기타유동금융부채,17268725604,18476942773,14411324308
24,기타유동부채,4678288320,5360717829,3306515851
27,복구충당부채,123860000,121571931,
28,판매보증충당부채,3312623193,3089705572,3221457031
29,비유동부채,51254381263,53139886305,30106046019
32,기타비유동금융부채,2974809091,3272207733,1902387934
33,순확정급여부채,4584676614,7009866175,7474553854
34,기타장기종업원부채,571970452,505851430,506891554
35,복구충당부채,,,116251533
36,이연법인세부채,8329598435,7370852168,7317967781
37,부채총계,195168304315,194125631930,177600642418
47,자본과부채총계,236600606117,220115437716,203154749775
