,tag,제 15 기,제 14 기,제 14 기초
0,자산,,,
1,유동자산,271260712284.0,244141732090.0,144152389768
2,현금및현금성자산,50201065697.0,39203238292.0,12822806396
4,당기손익-공정가치측정 금융자산,8026889802.0,10013000000.0,14045957543
6,기타유동금융자산,3130786006.0,1498873718.0,273016781
7,기타유동자산,7538912009.0,5667942869.0,2237442740
8,재고자산,107622519229.0,80809451344.0,40925358238
9,당기법인세자산,530771669.0,0.0,252535056
10,당기환급금자산,0.0,0.0,0
11,비유동자산,307418442638.0,254423481460.0,196927944995
12,비유동 기타포괄손익-공정가치 측정 금융자산,3464744190.0,4535828577.0,1242452473
13,당기손익-공정가치측정 금융자산,8026889802.0,8727856796.0,1764006000
15,유형자산,254256350303.0,209094632939.0,171660100632
16,사용권자산,3628616967.0,1095083443.0,887972785
17,무형자산,12478987051.0,12618848844.0,8003295185
18,기타비유동금융자산,2626552513.0,1942249106.0,695897842
19,이연법인세자산,17126590492.0,15732097859.0,12674220078
20,순확정급여자산,5809711320.0,676883896.0,0
21,자산총계,578679154922.0,498565213550.0,341080334763
22,부채,,,
23,유동부채,179223988711.0,52574824823.0,16227316013
27,기타유동금융부채,21923940417.0,13176311415.0,4458413157
28,유동리스부채,1185348847.0,587236871.0,583135734
29,기타유동부채,19208244046.0,7660757150.0,2588991965
30,기타종업원급여부채,2286827110.0,1963280140.0,1412791880
31,당기법인세부채,2376908145.0,1322108385.0,0
32,비유동부채,50325285883.0,119957812649.0,21173210827
34,퇴직급여부채,0.0,0.0,1575975528
36,기타비유동금융부채,3486407720.0,3443483285.0,1916730442
37,비유동리스부채,2481085839.0,479097997.0,472778154
38,기타장기종업원급여부채,24584342259.0,22790531409.0,322027966
39,기타비유동부채,718676589.0,837373644.0,
40,부채총계,229549274594.0,172532637472.0,37400526840
49,자본과부채총계,570652265120.0,498565213550.0,341080334763
