,tag,제 29 기,제 28 기,제 28 기초
0,자산,,,
1,유동자산,34999130791,30221073526,19350505062
2,현금및현금성자산,13589920914,3974348482,2802204704
5,재고자산,11271641976,14799216101,7234343399
6,당기법인세자산,24592312,807980,13757660
7,기타유동자산,216799646,425312446,598389470
8,비유동자산,82304439703,87239110202,94543280633
11,유형자산,81585742341,86613023276,92600000825
12,사용권자산,190459356,,
13,영업권 이외의 무형자산,211571665,275160741,759924797
14,기타비유동자산,8444412,61219915,246125146
15,자산총계,117303570494,117460183728,113893785695
16,부채,,,
17,유동부채,80757113949,79589553739,76645510020
20,기타유동부채,309415788,448489645,569217504
22,비유동부채,7615791741,27144748012,8874225557
24,퇴직급여부채,1966523224,2421213510,5795901532
25,이연법인세부채,3249777657,3523124649,663067938
27,기타비유동부채,400653563,479088699,276125162
28,부채총계,88372905690,106734301751,85519735577
36,자본과부채총계,117303570494,117460183728,113893785695
