,tag,제 23 기,제 22 기,제 22 기초
0,자산,,,
1,유동자산,143947296587,123658944129,110345804394
2,현금및현금성자산,20209883597,26916069133,30803922955
4,기타금융자산,1941112559,2987318506,
6,재고자산,45936748645,38710791302,35313640857
7,기타유동자산,4065652275,5795643392,5627855041
8,당기법인세자산,276587046,144659898,105831485
9,비유동자산,285704660225,287565553137,173022140706
11,기타비유동금융자산,18833784329,33303043727,58502748005
13,유형자산,164080443077,129416027471,87007628260
14,사용권자산,8995847647,9833788108,1029034705
15,무형자산,17381091891,21207266172,21675240854
16,기타비유동자산,632694295,696715298,794421061
17,순확정급여자산,570400667,,
18,자산총계,429651956812,411224497266,283367945100
19,부채,,,
20,유동부채,205169421949,160470364463,70878557832
24,기타금융부채,48673300642,23432005463,
25,유동리스부채,725886806,764534514,513391684
26,유동성장기부채,5297915465,4557478135,666826165
27,기타유동부채,5145820212,5150490419,5380856720
28,당기법인세부채,500000000,7764386708,2717945041
29,비유동부채,54704596826,17880611457,19755469512
32,비유동리스부채,577362958,961796182,498127269
33,상환우선주부채,578404136,481810094,
34,장기기타금융부채,994355464,846351155,
35,순확정급여부채,140059402,382209535,981705022
36,기타비유동부채,121957821,78718173,192420731
37,이연법인세부채,3034499200,8117995920,10938669703
38,부채총계,259874018775,178350975920,90634027344
48,자본과부채총계,429651956812,411224497266,283367945100
