,tag,제 22 기,제 21 기,제 20 기
0,자산,,,
1,유동자산,8181858080896,6968211360179,5950125369972
2,현금및현금성자산,2059783220532,1645326172902,1401146644297
3,기타유동금융자산,1057232216878,875740885347,943284984149
5,계약자산,202915422384,198427417795,102057487931
7,재고자산,1452283025275,1370430331304,1115337770558
8,충당자산,44982730387,38753360538,37317893890
9,당기법인세자산,7938749219,4466410767,7425591960
10,기타유동자산,116697146835,93243267528,83410025538
11,매각예정비유동자산,,33141838000,
12,비유동자산,5695926419400,5202716882586,4948579066646
14,기타비유동금융자산,222508643490,415338966839,425696401239
16,유형자산,4470028907297,3865120928412,3747095996445
17,무형자산,104163670448,102073006434,103477860328
18,충당자산,133879921006,127773967297,132087282913
19,이연법인세자산,9692306551,8679397475,5236673939
20,기타비유동자산,56347895961,975823098,2524826678
21,자산총계,13877784500296,12170928242765,10898704436618
22,부채,,,
23,유동부채,4343758217774,3942961992175,3547701852658
27,기타유동금융부채,322186105798,251685399550,198089402163
28,당기법인세부채,243989672555,135444483890,30428326784
29,충당부채,73052433322,51945818119,47212805480
30,계약부채,138701367204,51084202762,76291800195
31,기타유동부채,33298871165,58190577049,36482475455
32,비유동부채,2654413994564,2415554115236,2284633930800
35,기타비유동금융부채,1301353380547,1019610516584,958865464947
36,이연법인세부채,241479098023,237333651210,232722644582
37,확정급여부채,2051581616,2371262031,2632714394
38,충당부채,141501386207,136684063648,139629520539
39,기타비유동부채,9386404442,9904563597,9553946840
40,부채총계,6998172212338,6358516107411,5832335783458
51,부채 및 자본의 총계,13877784500296,12170928242765,10898704436618
