,tag,제 65 기,제 64 기,제 63 기
0,자산,,,
1,유동자산,81702957489.0,78260037831.0,72449407257.0
2,현금및현금성자산,17055407839.0,19491367430.0,32973581436.0
3,당기손익인식금융자산,79134600.0,97397000.0,148116120.0
5,기타유동금융자산,19632968477.0,21481067221.0,12011951412.0
6,기타유동자산,2472180964.0,2005599103.0,2077691492.0
7,재고자산,21341071545.0,12326041334.0,9593715767.0
8,당기법인세자산,5828850.0,4115120.0,45329490.0
9,비유동자산,42457334642.0,41369019756.0,44907186845.0
10,기타비유동금융자산,319930350.0,755079580.0,909676430.0
11,기타비유동자산,141961271.0,0.0,0.0
12,유형자산,37044118731.0,34149463964.0,36567989497.0
13,사용권자산,261230632.0,338915917.0,573878997.0
14,무형자산,1443058653.0,2103521067.0,2168941034.0
15,매도가능금융자산,78000000.0,78000000.0,78000000.0
16,이연법인세자산,3169035005.0,3944039228.0,4608700887.0
17,자산총계,124160292131.0,119629057587.0,117356594102.0
18,부채,,,
19,유동부채,10758686692.0,13060169094.0,7397527037.0
23,기타유동금융부채,2372837774.0,2500573265.0,2069969913.0
24,기타유동부채,549290988.0,370955248.0,278983875.0
25,유동리스부채,260271076.0,257591814.0,248522469.0
26,당기법인세부채,73037756.0,79769880.0,0.0
27,비유동부채,19300137300.0,14829786451.0,19950676517.0
29,기타비유동부채,413282716.0,397728533.0,348375549.0
30,리스부채,10019189.0,101697101.0,347348415.0
31,순확정급여부채,10067835395.0,11930360817.0,12054952553.0
32,부채총계,30058823992.0,27889955545.0,27348203554.0
41,부채와자본총계,124160292131.0,119629057587.0,117356594102.0
