,tag,제 50 기,제 49 기,제 48 기
0,자산,,,
1,유동자산,89396251335,81236201875,79133810435
2,현금및현금성자산,36123987867,29399182462,28241041457
3,유동금융자산,45790762030,38772721752,42494525113
6,재고자산,1782283740,3884772979,2244166339
7,유동비금융자산,236796160,353408807,485070175
8,당기법인세자산,,18932707,39457468
9,비유동자산,121590819389,123772191150,99913375868
10,비유동금융자산,740782540,885827950,1356340554
12,유형자산,73361195774,74974895709,47217181703
14,무형자산,1645388245,1571436332,1636560002
16,순확정급여자산,0,0,0
17,자산총계,210987070724,205008393025,179047186303
18,부채,,,
19,유동부채,6404763400,14004829368,11381520748
22,유동금융부채,47000000,214000000,83000000
23,유동비금융부채,240240416,6063676906,5527856301
24,당기법인세부채,1289666322,833452578,403146291
25,비유동부채,28568824749,27006926248,20572434866
26,비유동금융부채,246000000,64000000,167000000
27,비유동비금융부채,2129381,3381826,3201695
28,순확정급여부채,91733925,293421804,360714269
29,이연법인세부채,28228961443,26646122618,20041518902
30,부채총계,34973588149,41011755616,31953955614
40,자본과부채총계,210987070724,205008393025,179047186303
