,tag,제 58 기,제 57 기,제 56 기
2,매출총이익,450015533982,423105319782,321265450336
4,영업이익(손실),232577852131,228865744338,146952544905
7,기타이익,17298683712,17063721681,17236309751
9,지분법이익(손실),"(1,378,771)",502475281,"(3,106,232)"
10,법인세비용차감전순이익(손실),210386129580,210779344581,115687306894
12,계속영업이익(손실),163508810507,182931932144,85666530472
13,중단영업이익(손실),,18312991688,"(2,718,576,658)"
14,당기순이익(손실),163508810507,201244923832,82947953814
15,당기순이익(손실)의 귀속,,,
16,지배기업의 소유주에게 귀속되는 당기순이익(손실),84017719011,105035588912,42023147791
17,비지배지분에 귀속되는 당기순이익(손실),79491091496,96209334920,40924806023
28,주당이익,,,
30,기본 및 희석주당순이익 (단위 : 원),46012,56785,22188
31,기본주당이익(손실) (단위 : 원),46012,56785,22188
32,계속영업기본주당이익(손실) (단위 : 원),46012,51445,22962
33,중단영업기본주당이익(손실) (단위 : 원),,5340,(774)
