,tag,제 15 기,제 14 기
2,매출총이익,88931738029.0,57743171017
4,영업이익(손실),17851415161.0,5577586579
5,기타이익,879171203.0,170518289
9,법인세비용차감전순이익(손실),19237033364.0,1260206278
11,당기순이익(손실),17515720880.0,3377390171
14,당기순이익(손실)의 귀속,,
15,지배기업의 소유주에게 귀속되는 당기순이익(손실),18000015281.0,3312124537
16,비지배지분에 귀속되는 당기순이익(손실),484294401.0,65265634
20,주당이익,,
21,기본주당이익(손실) (단위 : 원),957.0,177
22,희석주당이익(손실) (단위 : 원),957.0,177
