,tag,제 58 기,제 57 기,제 56 기
2,매출총이익,57886862232,49873279700,31692690206
4,영업이익(손실),44004543908,35450218335,18718692917
5,기타이익,10500352735,9996971288,6993931273
9,관계기업 투자이익,4882778917,2782266955,1356626177
10,법인세비용차감전순이익(손실),31753667550,44392400139,23423576983
12,당기순이익(손실),23383094958,33138438882,19678866217
20,당기순이익(손실)의 귀속,,,
21,지배기업의 소유주에게 귀속되는 당기순이익(손실),23383233921,33138620865,19679047778
22,비지배지분에 귀속되는 당기순이익(손실),"(138,963)","(181,983)","(181,561)"
26,주당이익,,,
27,기본주당이익(손실) (단위 : 원),15455,21903,12962
