,tag,제 15 기,제 14 기,제 13 기
2,매출총이익,96208704852.0,79342986361,73336494012
4,영업이익,31490877242.0,20402669112,13776691618
9,법인세비용차감전순이익(손실),27728684638.0,19710708068,5007072044
11,당기순이익,,,
12,지배기업의 소유주에게 귀속되는 당기순이익(손실),24221646869.0,14946262435,4818812413
13,비지배지분에 귀속되는 당기순이익(손실),,,
17,기타포괄손익공정가치측정지분상품평가이익,481601576.0,"(144,055,501)",92644432
20,총포괄이익(손실),,,
21,지배기업의 소유주에 귀속되는 총포괄이익(손실),25530039623.0,16397647040,5159783721
22,비지배지분에 귀속되는 총포괄이익(손실),,,
24,기본주당이익(손실) (단위 : 원),653.0,403,130
25,희석주당이익(손실) (단위 : 원),653.0,403,130
