,tag,제 16 기,제 15 기
2,매출총이익,64930712596,54410889727
4,영업이익,56473078225,50629174230
11,법인세비용차감전순이익,36077027981,54942888636
13,당기순이익,42836419269,48014565153
14,당기순이익(손실)의 귀속,,
15,지배기업의 소유주에게 귀속되는 당기순이익(손실),37363095395,43769533326
16,비지배지분에 귀속되는 당기순이익(손실),5473323874,4245031827
28,주당이익,,
29,기본주당이익 (단위 : 원),3763,4438
30,희석주당이익 (단위 : 원),3763,4438
