,tag,제 52 기,제 51 기,제 50 기
2,매출총이익,216028224352.0,204402628152.0,181708823198.0
5,영업이익(손실),40407538272.0,41025011213.0,34100857090.0
6,기타이익,3641440117.0,1611354185.0,1445699674.0
10,법인세비용차감전순이익(손실),41331403889.0,38927368985.0,28392739488.0
12,당기순이익(손실),31741017768.0,25955713953.0,21545309774.0
13,당기순이익(손실)의 귀속,,,
14,지배기업의 소유주에게 귀속되는 당기순이익(손실),19237937223.0,14383750120.0,10879578321.0
15,비지배지분에 귀속되는 당기순이익(손실),12503080545.0,11571963833.0,10665731453.0
16,주당이익,,,
17,기본주당이익(손실) (단위 : 원),1036.0,790.0,597.0
18,희석주당이익(손실) (단위 : 원),1036.0,790.0,597.0
