,tag,제 54 기,제 53 기,제 52 기
2,매출총이익,832068201856,378779134740,463886161738
4,영업이익(손실),362228951564,74366472698,172966917132
9,관계기업과 공동기업에 대한 지분법이익,"(13,511,390,858)",116425461436,147653251004
10,법인세비용차감전계속영업이익,539051827627,364742064220,516153481972
12,당기순이익,534037722554,272294790887,355450020247
23,지분법이익잉여금,8364050869,"(4,873,463,789)","(5,042,755,600)"
25,당기순이익의 귀속,,,
28,당기총포괄이익의 귀속,,,
31,주당이익,,,
32,보통주주당순이익(손실) (단위 : 원),21631,10478,13096
33,우선주주당순이익(손실) (단위 : 원),21681,10569,13146
34,보통주희석주당순이익(손실) (단위 : 원),21631,10475,13096
35,우선주희석주당순이익(손실) (단위 : 원),21681,10567,13146
