,tag,제 28 기,제 27 기,제 26 기
2,매출총이익,152189112852,121475090012,115115439509
4,영업이익(손실),"(21,130,809,388)","(12,087,443,066)","(18,861,876,976)"
5,기타이익,2641825300,2915921888,6123305778
9,법인세비용차감전순이익(손실),"(37,651,623,524)","(23,745,965,787)","(24,717,931,739)"
11,당기순이익(손실),"(37,767,478,201)","(30,982,030,827)","(23,006,381,384)"
18,당기순이익(손실)의 귀속,,,
19,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(37,753,051,838)","(30,982,030,827)","(23,006,381,384)"
20,비지배지분에 귀속되는 당기순이익(손실),"(14,426,363)",0,0
24,주당이익,,,
25,기본주당이익(손실) (단위 : 원),"(1,979)","(2,835)","(2,105)"
26,희석주당이익(손실) (단위 : 원),"(1,979)","(2,835)","(2,105)"
