,tag,제 37 기,제 36 기,제 35 기
2,매출총이익,64056467154,47694854764,76635963598.0
4,영업이익(손실),11747797604,"(1,171,275,967)",20662827152.0
5,기타이익,29835771489,17866086364,21009976968.0
9,법인세비용차감전순이익(손실),22045104764,"(25,944,541,929)",17427588314.0
11,당기순이익(손실),22660092845,"(28,119,421,364)",17030555613.0
19,당기순이익(손실)의 귀속,,,
20,지배기업의 소유주에게 귀속되는 당기순이익(손실),22660092845,"(28,119,421,364)",17030555613.0
21,비지배지분에 귀속되는 당기순이익(손실),,,
25,주당이익,,,
26,기본주당이익(손실) (단위 : 원),485,(602),364.0
27,희석주당이익(손실) (단위 : 원),485,(602),364.0
