,tag,제 29 기,제 28 기
2,매출총이익,7700296625,"(24,267,527,949)"
4,영업이익(손실),1052222165,"(35,456,269,910)"
5,기타이익,1262153803,1935128521
9,법인세비용차감전순이익(손실),"(3,627,403,567)","(41,355,217,398)"
11,당기순이익(손실),"(3,263,062,533)","(43,668,263,154)"
18,주당이익,,
19,기본주당이익(손실) (단위 : 원),(68),"(1,303)"
20,희석주당이익(손실) (단위 : 원),(68),"(1,303)"
