,tag,제 69 기,제 68 기,제 67 기
22,매출총이익,"(28,295,404,467)",31150552825,29248445509
26,영업이익(손실),"(62,976,130,833)","(4,353,122,537)","(7,849,588,856)"
27,기타이익,8087717186,10243219662,27954406003
32,법인세비용차감전순이익(손실),"(70,178,187,660)","(1,783,594,943)","(21,040,909,066)"
34,계속영업이익(손실),"(73,437,962,943)","(1,548,916,286)","(21,140,465,210)"
35,중단영업이익(손실),,"(963,524,542)",2501849
36,당기순이익(손실),"(73,437,962,943)","(2,512,440,828)","(21,137,963,361)"
43,당기순이익(손실)의 귀속,,,
44,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(73,409,159,633)","(2,443,007,954)","(17,478,104,872)"
45,비지배지분에 귀속되는 당기순이익(손실),"(28,803,310)","(69,432,874)","(3,659,858,489)"
49,주당이익,,,
50,기본주당이익(손실) (단위 : 원),(406),(18),(127)
51,희석주당이익(손실) (단위 : 원),(406),(18),(96)
