,tag,제 34 기,제 33 기,제 32 기
2,매출총이익,2486491838816,2388937988200,2193497480823
4,영업이익(손실),677378551681,640219263049,606438716580
10,법인세비용차감전순이익(손실),683308004068,658552414204,540379082066
12,당기순이익,457795616474,465486095093,404710859650
13,당기순이익(손실)의 귀속,,,
14,지배기업의 소유주순이익(손실),458174984699,465657885359,404891633620
15,비지배지분 순이익(손실),"(379,368,225)","(171,790,266)","(180,773,970)"
23,지배기업의 소유주포괄이익(손실),498171459086,501501262413,395719425818
25,주당이익,,,
26,기본주당이익(손실) (단위 : 원),6314,6418,5584
27,희석주당이익(손실) (단위 : 원),6314,6418,5583
