,tag,제 49 기,제 48 기
2,매출총이익,174164728055,120863978548
4,영업이익(손실),62590109179,20481749724
5,기타이익,11880529219,4617736214
10,법인세비용차감전순이익,65209716196,24456579339
12,당기순이익(손실)의 귀속,,
19,주당이익,,
