,tag,제 83 기,제 82 기,제 81 기
2,매출총이익,53313143638,45335385325,45268954615
4,영업이익(손실),"(592,113,629)",1200168223,6270927155
5,기타이익,831583223,849866340,1031841182
10,법인세비용차감전순이익(손실),"(3,810,376,632)","(383,155,286)",3711335176
12,당기순이익(손실),"(4,425,392,926)","(920,289,067)",2412605436
17,자산재평가이익,,,7033709841
19,당기순이익(손실)의 귀속,,,
20,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(5,987,680,915)","(2,213,799,730)",1283521197
21,비지배지분에 귀속되는 당기순이익(손실),1562287989,1293510663,1129084239
25,주당이익,,,
26,기본주당이익(손실) (단위 : 원),(378),(157),83
27,희석주당이익(손실) (단위 : 원),(378),(157),83
