,tag,제 21 기,제 20 기,제 19 기
2,매출총이익,52226894222,44706390511,51272898702
6,영업이익(손실),3940036180,"(259,927,687)",1992177674
9,기타이익,7430026108,1067811307,871402042
12,법인세비용차감전순이익(손실),8288093361,"(1,320,525,665)","(1,015,313,123)"
15,당기순이익(손실),8078888548,"(771,546,500)","(1,122,459,950)"
16,당기순이익(손실)의 귀속,,,
17,지배기업의 소유주에게 귀속되는 당기순이익(손실),8087711361,"(745,017,112)","(1,107,647,397)"
18,비지배지분에 귀속되는 당기순이익(손실),"(8,822,813)","(26,529,388)","(14,812,553)"
23,해외사업환산이익,"(592,418,937)",406134730,"(147,323,417)"
29,주당이익,,,
30,기본주당이익(손실) (단위 : 원),262,(24),(36)
31,희석주당이익(손실) (단위 : 원),262,(24),(36)
