,tag,제 69 기,제 68 기,제 67 기
2,매출총이익,9868450403,9600205320,12703140483
4,영업이익(손실),"(11,787,966,654)","(8,559,664,657)","(6,423,342,717)"
7,기타이익,1010100040,4156587034,3716454114
9,법인세비용차감전순이익(손실),"(16,261,105,845)","(11,701,592,224)","(9,583,384,353)"
11,계속영업이익(손실),"(16,903,661,108)","(10,929,802,165)","(8,609,993,486)"
12,중단영업이익(손실),0,1045894754,"(15,730,520,356)"
13,당기순이익(손실),"(16,903,661,108)","(9,883,907,411)","(24,340,513,842)"
14,당기순이익(손실)의 귀속,,,
15,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(16,583,032,071)","(9,806,194,217)","(24,339,857,202)"
16,비지배지분에 귀속되는 당기순이익(손실),"(320,629,037)","(77,713,194)","(656,640)"
23,해외사업장환산외환차이(세전기타포괄이익),31192561,"(848,000,504)",720266046
29,주당이익,,,
30,기본주당이익(손실) (단위 : 원),,,
31,계속영업기본주당이익(손실) (단위 : 원),(728),(761),(833)
32,계속사업희석주당이익(손실) (단위 : 원),(728),(761),(833)
33,중단영업기본주당이익(손실) (단위 : 원),0,73,"(1,522)"
34,중단사업희석주당순이익(손실) (단위 : 원),0,73,"(1,522)"
