,tag,제 23 기,제 22 기,제 21 기
2,매출총이익,15926303220,12709977059,11876621605
4,영업이익(손실),848339698,"(848,992,713)",94319681
9,법인세비용차감전순이익(손실),1281667707,1576587443,"(1,937,566,482)"
11,계속영업이익(손실),"(214,987,091)",268419549,"(1,466,137,049)"
12,중단영업이익(손실),,275131186,92348481
13,당기순이익(손실),"(214,987,091)",543550735,"(1,373,788,568)"
14,당기순이익(손실)의 귀속,,,
16,계속영업이익(손실),"(214,987,091)",268419549,"(1,481,295,034)"
17,중단영업이익(손실),,275131186,136420566
19,계속영업이익(손실),,,15157985
20,중단영업이익(손실),,,"(44,072,085)"
26,당기총포괄이익(손실),1410400641,1547629417,"(1,896,584,460)"
27,당기총포괄이익(손실)의 귀속,,,
30,주당이익,,,
31,기본주당이익(손실) (단위 : 원),,,
32,계속영업기본주당이익(손실) (단위 : 원),(5),6,(35)
33,중단영업기본주당이익(손실) (단위 : 원),,7,3
