,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,동양피스톤,주당액면가액(원),500,500,500,
1,동양피스톤,(연결)당기순이익(백만원),"-7,271","9,714","11,492",
2,동양피스톤,(별도)당기순이익(백만원),"1,292","5,112",37,
3,동양피스톤,(연결)주당순이익(원),-580,753,874,
4,동양피스톤,현금배당금총액(백만원),751,"1,517","1,552",
5,동양피스톤,주식배당금총액(백만원),-,-,-,
6,동양피스톤,(연결)현금배당성향(%),-10.33,15.62,13.51,
7,동양피스톤,현금배당수익률(%),1.10,2.50,2.46,보통주
8,동양피스톤,현금배당수익률(%),-,-,-,우선주
9,동양피스톤,주식배당수익률(%),-,-,-,보통주
10,동양피스톤,주식배당수익률(%),-,-,-,우선주
11,동양피스톤,주당 현금배당금(원),60,120,120,보통주
12,동양피스톤,주당 현금배당금(원),-,-,-,우선주
13,동양피스톤,주당 주식배당(주),-,-,-,보통주
14,동양피스톤,주당 주식배당(주),-,-,-,우선주
