,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,에스제이엠홀딩스,주당액면가액(원),500,500,500,
1,에스제이엠홀딩스,(연결)당기순이익(백만원),"2,998","4,920","3,074",
2,에스제이엠홀딩스,(별도)당기순이익(백만원),"2,468","4,972","3,468",
3,에스제이엠홀딩스,(연결)주당순이익(원),221,363,227,
4,에스제이엠홀딩스,현금배당금총액(백만원),"1,355","2,372","2,033",
5,에스제이엠홀딩스,주식배당금총액(백만원),-,-,-,
6,에스제이엠홀딩스,(연결)현금배당성향(%),45.20,48.20,66.10,
7,에스제이엠홀딩스,현금배당수익률(%),3.30,5.30,4.40,보통주
8,에스제이엠홀딩스,현금배당수익률(%),-,-,-,우선주
9,에스제이엠홀딩스,주식배당수익률(%),-,-,-,보통주
10,에스제이엠홀딩스,주식배당수익률(%),-,-,-,우선주
11,에스제이엠홀딩스,주당 현금배당금(원),100,175,150,보통주
12,에스제이엠홀딩스,주당 현금배당금(원),-,-,-,우선주
13,에스제이엠홀딩스,주당 주식배당(주),-,-,-,보통주
14,에스제이엠홀딩스,주당 주식배당(주),-,-,-,우선주
